"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-05-02T15:30:00.000Z","45.26","45.26","45.26","45.26","-0.0128","-0.0721","100"
"2024-05-02T16:00:00.000Z","45.08","45.08","45.08","45.08","-0.3955","-0.4548","250"
"2024-05-02T18:00:00.000Z","45.36","45.36","45.36","45.36","0.6189","0.5596","100"
"2024-05-02T19:30:00.000Z","45.15","45.15","45.15","45.15","-0.4548","-0.5141","222"
"2024-05-03T13:30:00.000Z","46.71","47.13","46.71","47.13","4.38","4.32","2,820"
"2024-05-03T14:30:00.000Z","47.01","47.01","47.01","47.01","-0.2538","-0.3131","150"
"2024-05-03T16:30:00.000Z","47.42","47.42","46.98","46.98","-0.0638","-0.1231","899"
"2024-05-03T18:30:00.000Z","47.21","47.21","47.21","47.21","0.4896","0.4303","1,400"
"2024-05-03T19:00:00.000Z","47.14","47.14","47.07","47.07","-0.2987","-0.3580","800"
"2024-05-03T19:30:00.000Z","47.22","47.22","47.22","47.22","0.3229","0.2636","100"
"2024-05-06T13:30:00.000Z","48.43","48.72","48.43","48.72","3.17","3.11","868"
"2024-05-06T14:00:00.000Z","48.79","48.79","48.78","48.78","0.1252","0.0659","999"
"2024-05-06T14:30:00.000Z","48.71","48.71","48.71","48.71","-0.1435","-0.2028","140"
"2024-05-06T15:30:00.000Z","48.37","48.37","48.37","48.37","-0.6980","-0.7573","100"
"2024-05-06T16:00:00.000Z","48.54","48.54","48.54","48.54","0.3515","0.2922","277"
"2024-05-06T16:30:00.000Z","48.25","48.25","48.25","48.25","-0.5974","-0.6567","200"
"2024-05-06T17:30:00.000Z","48.08","48.08","48.08","48.08","-0.3523","-0.4116","100"
"2024-05-06T18:00:00.000Z","48.11","48.11","48.11","48.11","0.0645","0.0052","100"
"2024-05-06T19:30:00.000Z","48.16","48.16","48.16","48.16","0.1122","0.0529","100"
"2024-05-07T13:30:00.000Z","48.56","48.56","48.19","48.19","0.0519","-0.0074","1,297"
"2024-05-07T14:00:00.000Z","48.13","48.13","48.13","48.13","-0.1245","-0.1838","200"
"2024-05-07T14:30:00.000Z","48.24","48.60","48.24","48.60","0.9869","0.9276","1,785"
"2024-05-07T15:00:00.000Z","49.00","49.00","48.64","48.64","0.0720","0.0127","822"
"2024-05-07T16:00:00.000Z","48.60","48.70","48.60","48.70","0.1213","0.0620","345"
"2024-05-07T16:30:00.000Z","48.45","48.45","48.45","48.45","-0.5113","-0.5706","100"
"2024-05-07T18:30:00.000Z","48.07","48.07","48.00","48.00","-0.9288","-0.9881","804"
"2024-05-07T19:30:00.000Z","48.07","48.07","48.07","48.07","0.1458","0.0865","200"
"2024-05-08T13:30:00.000Z","47.32","47.32","47.15","47.15","-1.91","-1.97","974"
