"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-30T19:30:00.000Z","6.82","6.82","6.74","6.75","-1.03","-1.06","1,178,103"
"2024-05-01T13:30:00.000Z","7.28","7.58","7.15","7.20","6.51","6.48","3,390,825"
"2024-05-01T14:00:00.000Z","7.20","7.28","7.14","7.21","0.2085","0.1753","735,392"
"2024-05-01T14:30:00.000Z","7.21","7.21","7.12","7.17","-0.4854","-0.5186","458,224"
"2024-05-01T15:00:00.000Z","7.18","7.18","6.93","6.94","-3.28","-3.31","764,318"
"2024-05-01T15:30:00.000Z","6.95","6.98","6.88","6.88","-0.7925","-0.8257","521,831"
"2024-05-01T16:00:00.000Z","6.88","6.92","6.86","6.92","0.4996","0.4665","330,374"
"2024-05-01T16:30:00.000Z","6.92","6.92","6.82","6.84","-1.18","-1.21","470,964"
"2024-05-01T17:00:00.000Z","6.84","6.86","6.81","6.81","-0.4095","-0.4427","142,157"
"2024-05-01T17:30:00.000Z","6.81","6.83","6.78","6.83","0.3671","0.3339","209,337"
"2024-05-01T18:00:00.000Z","6.83","6.92","6.81","6.92","1.24","1.21","292,580"
"2024-05-01T18:30:00.000Z","6.92","7.06","6.87","7.05","1.95","1.92","526,183"
"2024-05-01T19:00:00.000Z","7.06","7.11","6.97","6.97","-1.13","-1.17","550,929"
"2024-05-01T19:30:00.000Z","6.97","6.97","6.82","6.82","-2.22","-2.26","1,387,352"
"2024-05-02T13:30:00.000Z","6.92","7.05","6.85","7.01","2.79","2.75","704,421"
"2024-05-02T14:00:00.000Z","7.01","7.15","7.00","7.11","1.45","1.41","407,326"
"2024-05-02T14:30:00.000Z","7.12","7.26","7.11","7.23","1.67","1.63","586,698"
"2024-05-02T15:00:00.000Z","7.24","7.25","7.14","7.14","-1.24","-1.28","604,013"
"2024-05-02T15:30:00.000Z","7.14","7.20","7.13","7.20","0.8403","0.8072","305,892"
"2024-05-02T16:00:00.000Z","7.20","7.20","7.10","7.13","-1.04","-1.07","229,970"
"2024-05-02T16:30:00.000Z","7.13","7.16","7.10","7.16","0.4211","0.3879","258,528"
"2024-05-02T17:00:00.000Z","7.16","7.19","7.15","7.16","","-0.0332","195,612"
"2024-05-02T17:30:00.000Z","7.16","7.20","7.15","7.17","0.1398","0.1066","238,740"
"2024-05-02T18:00:00.000Z","7.17","7.17","7.13","7.15","-0.2094","-0.2425","261,735"
"2024-05-02T18:30:00.000Z","7.14","7.15","7.11","7.14","-0.0699","-0.1031","188,524"
"2024-05-02T19:00:00.000Z","7.15","7.15","7.12","7.14","","-0.0332","234,595"
"2024-05-02T19:30:00.000Z","7.14","7.15","7.12","7.13","-0.2099","-0.2431","730,199"
"2024-05-03T13:30:00.000Z","7.23","7.29","7.06","7.13","-0.0070","-0.0402","514,842"
"2024-05-03T14:00:00.000Z","7.13","7.14","7.08","7.12","-0.1332","-0.1664","224,108"
"2024-05-03T14:30:00.000Z","7.12","7.15","7.09","7.11","-0.2107","-0.2438","129,327"
"2024-05-03T15:00:00.000Z","7.11","7.11","6.99","7.03","-1.13","-1.16","182,910"
"2024-05-03T15:30:00.000Z","7.03","7.08","7.01","7.05","0.4270","0.3939","177,472"
"2024-05-03T16:00:00.000Z","7.05","7.08","7.04","7.04","-0.1417","-0.1749","157,810"
"2024-05-03T16:30:00.000Z","7.04","7.08","7.04","7.05","0.0710","0.0378","158,715"
"2024-05-03T17:00:00.000Z","7.05","7.08","7.04","7.04","-0.0709","-0.1041","112,125"
"2024-05-03T17:30:00.000Z","7.05","7.18","7.03","7.16","1.62","1.58","1,049,457"
"2024-05-03T18:00:00.000Z","7.16","7.18","7.13","7.15","-0.1243","-0.1575","217,759"
"2024-05-03T18:30:00.000Z","7.16","7.17","7.13","7.17","0.2098","0.1766","151,798"
"2024-05-03T19:00:00.000Z","7.17","7.17","7.14","7.17","0.0698","0.0366","200,443"
"2024-05-03T19:30:00.000Z","7.17","7.22","7.15","7.20","0.4184","0.3852","855,713"
"2024-05-06T13:30:00.000Z","7.25","7.37","7.25","7.27","0.9722","0.9390","466,834"
"2024-05-06T14:00:00.000Z","7.27","7.34","7.24","7.33","0.8941","0.8609","322,590"
"2024-05-06T14:30:00.000Z","7.33","7.39","7.29","7.29","-0.5453","-0.5785","941,498"
"2024-05-06T15:00:00.000Z","7.30","7.31","7.25","7.28","-0.2742","-0.3073","249,226"
"2024-05-06T15:30:00.000Z","7.28","7.30","7.26","7.26","-0.2062","-0.2394","199,350"
"2024-05-06T16:00:00.000Z","7.26","7.27","7.19","7.20","-0.8953","-0.9285","314,423"
"2024-05-06T16:30:00.000Z","7.20","7.20","7.15","7.20","0.0695","0.0363","255,003"
"2024-05-06T17:00:00.000Z","7.20","7.20","7.17","7.17","-0.3472","-0.3804","202,823"
"2024-05-06T17:30:00.000Z","7.17","7.27","7.17","7.25","1.11","1.08","203,790"
"2024-05-06T18:00:00.000Z","7.25","7.30","7.24","7.30","0.6203","0.5871","157,209"
"2024-05-06T18:30:00.000Z","7.29","7.34","7.28","7.31","0.1370","0.1038","185,038"
"2024-05-06T19:00:00.000Z","7.32","7.34","7.30","7.32","0.0684","0.0352","425,093"
"2024-05-06T19:30:00.000Z","7.31","7.39","7.30","7.36","0.6152","0.5820","1,286,758"
"2024-05-07T13:30:00.000Z","7.38","7.52","7.36","7.43","0.9511","0.9179","888,185"
"2024-05-07T14:00:00.000Z","7.43","7.47","7.39","7.41","-0.3365","-0.3696","244,559"
"2024-05-07T14:30:00.000Z","7.40","7.45","7.39","7.42","0.2026","0.1694","215,717"
"2024-05-07T15:00:00.000Z","7.42","7.43","7.35","7.38","-0.6065","-0.6396","194,941"
"2024-05-07T15:30:00.000Z","7.38","7.41","7.37","7.38","0.1356","0.1024","285,194"
"2024-05-07T16:00:00.000Z","7.38","7.39","7.35","7.35","-0.4739","-0.5071","109,545"
"2024-05-07T16:30:00.000Z","7.36","7.37","7.33","7.35","","-0.0332","172,461"
"2024-05-07T17:00:00.000Z","7.36","7.39","7.34","7.39","0.5442","0.5110","211,586"
"2024-05-07T17:30:00.000Z","7.39","7.39","7.34","7.35","-0.5413","-0.5744","148,598"
"2024-05-07T18:00:00.000Z","7.34","7.37","7.33","7.34","-0.1361","-0.1692","139,207"
"2024-05-07T18:30:00.000Z","7.34","7.34","7.29","7.32","-0.2725","-0.3057","221,839"
"2024-05-07T19:00:00.000Z","7.32","7.32","7.29","7.32","-0.0683","-0.1015","202,351"
"2024-05-07T19:30:00.000Z","7.32","7.32","7.27","7.29","-0.4101","-0.4433","489,948"
"2024-05-08T13:30:00.000Z","7.18","7.20","7.07","7.14","-1.92","-1.95","493,943"
